frame,left_elbow_angle,right_elbow_angle,left_elbow_angle_smoothed,right_elbow_angle_smoothed
162,167.07769289800393,145.42937998643035,166.65427063250252,143.05878669178506
163,166.90005691078773,150.5574651829415,163.75996142369684,148.68989787259608
164,160.2450073873147,153.3581065683256,159.69499665475766,154.04598865116634
165,154.15939600433626,155.790222850938,154.72715508222103,157.86781061214808
166,149.1769721241267,160.94065066468892,149.6793315771283,160.81685434108985
167,139.7682873910445,165.03440812808114,143.78804383760593,163.13756863038438
168,137.904371763729,166.0466073665161,138.68673823993436,164.68793728140048
169,132.84072150693586,165.94924728495212,135.0279109889039,166.61598887973096
170,127.27749588935083,167.7418322057768,125.03773859832656,168.68508714799032
171,114.86478525704658,168.84768949751165,109.52039143944404,170.7664263595061
172,106.78401515787527,170.4606809343124,94.33465239951906,173.49452697985532
173,82.86990422276958,177.41971719238552,76.80661546172887,174.24924516990657
174,37.98711588787209,178.5270459300306,60.70637895827093,180.9209127971619
175,36.33576411653348,178.32802842027382,47.16379436098363,176.105582762395
176,48.269694095626136,175.7710099946901,37.408923460035595,170.12536672187684
177,31.523811463320133,166.78286879966745,31.71499080414475,164.03660928888306
178,34.93878138727081,178.86106893200437,31.48024385265526,158.08651553981974
179,32.46048880143198,109.98973823368561,33.91349490631681,154.18777236627506
180,31.085953026658437,157.608403882113,32.7213872461783,152.78906987324078
181,32.21946134222383,161.9181621661799,31.096997503887657,154.24483996839933
182,32.42045371669902,162.84462943142958,31.624200932618542,158.95298898335736
183,31.153591637822288,166.87961560550588,30.039744429894846,164.87863944192566
184,29.8525621232856,171.25895800543663,28.787674823897166,175.00035468401063
185,26.747118311900614,174.5334387014586,27.312546903501055,173.68967219334218
186,24.677176167768096,178.08588590381567,25.87534472647244,175.28953803821946
187,23.70981374070464,176.12667084667623,24.872958878768596,176.218136739925
188,24.62669165352425,175.16136732277442,24.426868748641112,175.9518430164274
189,25.113498229013047,174.41853444326142,24.49543007746776,175.03396562510477
190,26.012794977648763,173.84441427716297,25.27898664677552,174.1453186868731
191,25.970754954535035,172.97638428539327,26.06679601593052,173.3808502120457
192,26.795555561493806,172.47206060741198,26.847317752387298,172.80424304892017
193,28.31403506697997,172.53761699058262,28.19639191273921,176.72970028841308
194,30.386008227715557,172.8094841754093,29.811045241837345,175.1473435314607
195,31.427432074094746,170.77150157469168,32.260426227769855,162.94749252869357
196,35.543294663862355,168.52169235686597,36.211002225485444,154.7147849913043
197,41.514511880668984,169.4510332752483,40.65241650168353,150.82184879503714
198,44.69395525977574,114.2829431188798,46.719992723632956,151.82275899960024
199,53.79741070999106,110.81261055301161,53.734861556792154,151.52083144528729
200,62.23725369674353,179.89297905322994,61.38259605632908,150.55419877096483
201,67.10349339819979,178.48343899395508,68.7920123601691,149.50342491168374
202,79.02470290260872,167.57126803485158,75.6156769614505,149.51005726155688
203,83.0193425755946,134.47962996872945,82.26017762737334,154.82808155754913
204,88.60262306914362,135.89863080649593,88.56044993609783,154.1442532244671
205,93.43501472619089,142.68029525174376,95.28710733106185,149.4814654294828
206,99.07873663926307,155.85023387114256,102.2563015990081,154.8484658401603
207,108.05559386372819,176.03323370808747,108.31154139039447,163.9428161017329
208,116.7376654414124,178.87047942770968,114.65327206700482,173.64713827918422
209,121.82141940321158,177.86004455069977,119.66718249889081,178.14258365824253
210,123.8966495747742,179.93530080882135,124.1062571920676,180.8070847467585
211,124.09180946473211,177.13291673763004,126.85366733540454,180.50105394146044
212,125.0457607583231,173.2764810562585,125.37217859803714,175.31727394453242
213,122.3246849127415,175.9493963715264,120.71501904924855,171.518332387174
214,120.83219660111853,176.98381857307726,114.37603657372367,172.20912849120742
215,107.70153457311945,164.21675010215654,106.01978270144912,168.6506879658527
216,89.14569411231169,153.38191933413205,96.7731269467719,165.1229238678655
217,83.10118985070073,172.25788806705697,85.84382404898386,163.76729202901106
218,76.75704420937524,178.63349122861356,73.89598775923074,163.45012814274298
219,64.5822984910868,144.01618324778798,62.030142361972366,164.63953922883098
220,56.46080506058233,164.94111343040885,52.545810741350294,167.36784806178196
221,40.82063902121991,176.6772031952615,44.740227190733066,168.84021485126954
222,32.221457815866195,172.57038144912497,37.32848724541281,168.07311507849755
223,30.306375572484573,170.02029092282314,31.790806770975244,169.54413240609802
224,30.835161715822473,169.5134223166676,28.574677650443604,173.3338985628275
225,29.131321376919285,169.5766360976815,26.704298859086016,171.6017178463597
226,26.97257427184169,171.7924171745309,26.481438801898527,170.96058096129906
227,25.477851574198404,172.3884252549767,26.22665462911589,171.9563031722734
228,25.022474417026476,173.80662934353327,25.533305015267143,172.72776263877563
229,24.679660952429327,173.2406060372463,25.02157887341151,173.17768886663615
230,25.476433997556093,172.86234068358993,24.93517222262246,173.12657321769964
231,26.40258094147309,172.59942402003833,24.964936379692862,172.64812174882968
232,25.693171206834553,172.04451877621727,25.762708827232764,172.2607067554883
233,26.85117144707477,171.98984450252752,26.76683680473463,171.70558084174291
234,27.637779255196207,170.83279998937155,28.614175997806598,177.48140464694376
235,30.71511762561023,171.0903355502786,32.166352100919184,172.55038785353372
236,37.37559667297967,171.0916252504413,36.77487414685574,165.0842757638421
237,40.40100850488975,170.03457353685104,42.4397421356162,155.08306837786841
238,49.391905697343205,170.22507297710612,49.16095606720057,142.54676569561275
239,58.230536529799735,96.8540684971969,56.93851594160884,127.47536771707503
